url;titulo

https://elxabalicom.files.wordpress.com/2022/02/primer-plano-cara-de-tejon-meles-meles-mascara.jpg;Un tejón
https://lovepets.es/blog/wp-content/uploads/2023/07/cuantos-tipos-de-ardillas-hay-y-como-son.png;Una ardilla
https://www.fundacionaquae.org/wp-content/uploads/2021/05/comadreja-mustela-e1619954707488-1024x524.jpg;Una comadreja
https://www.fundacionaquae.org/wp-content/uploads/2017/11/jabali-1-e1608813697632.jpg;Un jabalí
https://noticiasambientales.com/wp-content/uploads/2021/04/animales_en_peligro_de_extincion.jpg;Un tigre
https://hospitalveterinariodonostia.com/wp-content/uploads/2018/12/6-lugares-donde-puedes-ver-animales-exoticos-6.jpg;Un tucán
https://hospitalveterinariodonostia.com/wp-content/uploads/2021/08/AnimalesExoticos-904x452.png;Una iguana
https://okdiario.com/img/2020/02/09/jeff-griffith-zqypm8i60f8-unsplash1-655x368.jpg;Una cebra
https://s2.ppllstatics.com/eldiariomontanes/www/multimedia/202210/04/media/cortadas/burro-pepe-rasines-RNWqbj121MOmj3DQElZ8WBI-1248x770@Diario%20Montanes.jpg;Un burro
https://www.nationalgeographic.com.es/medio/2022/12/12/lobo-1_dce3fc33_221212160111_1280x720.jpg;Un lobo
https://www.autopista.es/uploads/s1/95/37/00/9/el-jerbo-es-el-animal-con-las-orejas-mas-grandes-en-relacion-con-su-cuerpo.jpeg;Un jerbo
https://estaticos-cdn.prensaiberica.es/clip/d2efa8e1-2ec9-4b05-841f-7b8d9790855a_16-9-discover-aspect-ratio_default_0.jpg;Una nutria